ID{ISBN{SIGLA INVENTARIO{NUMERO INVENTARIO{CODICE{TITOLO{AUTORE{GENERE{EDITORE{EDIZIONE{COLLANA{SCAFFALE{FORMATO{NOTE FORMATO{PAGINE{DATA CATALOGAZIONE{NOVITA{COSTO{PROVENIENZA{LINGUA ORIGINALE{TITOLO ORIGINALE{TRADUTTORE{TESTO FRONTE{LINGUA{NAZIONE{NOTE{ALIENATO{VISIBILE{DATA MODIFICA{ID SOG MODIFICA{ID ALIENAZIONE{ID CATALOGAZIONE{DATA ALIENAZIONE{ID SOG MODIFICA
5000{{P{05000{808.387 ASI{./images/catalogazioni/5000.jpg{Il sole nudo{Asimov Isaac{Gialli - Thriller - Fantascienza{Mondadori{Milano - 1986{Bestsellers{{19,5 x 12,5{{241{2009-08-05{N{6.71{{N{The naket sun{Giuseppe Lippiu{N{{Russia{{N{Y{2017-08-02 00:00:00{0{{{{
5066{{P{05066{R 808.899 VAL{	./images/icone/icona-catalogazione.png{La casa di Nonna Italia{Valente Paola{Letture per elementari{Raffaello{Ancona - 2009{Il mulino a vento - serie blu{{21 x 15{{120{2010-01-24{N{7.50{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5067{{P{05067{823 PIL{	./images/icone/icona-catalogazione.png{Solstizio d'inverno{Pilcher Rosamunde{Narrativa inglese{Mondadori{Milano - 2000{Omnibus{{22,5 x 14,5{{539{2010-01-25{N{17.56{{N{Winter solstice{Annamaria Biavasco - Valentina Guani{N{{Inghilterra{{N{Y{2017-08-02 00:00:00{0{{{{
5068{{P{05068{808.387 CON{	./images/icone/icona-catalogazione.png{Lame di luce{Connelly Michael{Gialli - Thriller{Piemme{Casale Monferrato - 2004{{{24 x 15,5{{347{2010-01-25{N{{{N{Lost light{Mariagiulia Castagnone{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5069{{P{05069{853 VER{	./images/icone/icona-catalogazione.png{Brucia Troia{Veronesi Sandro{Narrativa italiana{Mondolibri{Milano - 2007{{{21,5 x 15,5{{232{2010-01-25{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5070{{P{05070{853 MAS{	./images/icone/icona-catalogazione.png{La gallina volante{Mastrocola Paola{Narrativa italiana{Guanda{Parma - 2000{Narratori della Fenice{{22 x 14{{213{2010-01-25{N{13.43{{N{{{N{{Italia{{N{Y{2018-09-03 15:16:49{2{{{{
5071{{P{05071{853 VAR{	./images/icone/icona-catalogazione.png{Dimentica le Mille e una notte - Salima, diciassette anni, sposa per forza{Varvello Marco{Narrativa italiana{Fabbri{Milano - 2005{{{19 x 12,5{{263{2010-01-25{N{9.50{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5072{{P{05072{813 FLA{	./images/icone/icona-catalogazione.png{Pane, cose e cappuccino dal fornaio di Elmwood Springs{Flagg Fannie{Narrativa americana{Sonzogno{Milano - 1999{I romanzi di Sonzogno{{22,5 x 14,5{{464{2010-01-25{N{15.44{{N{Welcome to world, baby girl!{Olivia Crosio{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5073{{P{05073{813 MIL{	./images/icone/icona-catalogazione.png{Un mondo nascosto{Miller Sue{Narrativa americana{Il Saggiatore{Milano - 2002{Scritture{{21,5 x 14{{315{2010-01-26{N{15.00{{N{The world below{Lidia Perria{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5074{{P{05074{791.43 MUR{	./images/icone/icona-catalogazione.png{Guida al Mockumentary{Muratori Letizia - Piccino Cristina{Spettacoli pubblici{Einaudi{Torino - 2007{Einaudi - Stile libero dvd{{21 x 14{{56{2010-01-26{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5075{{P{05075{155.42 OLI{	./images/icone/icona-catalogazione.png{Prova con una storia - Non mangia, non dorme, ha paura... - Il racconto giusto per ogni piccolo.....{Oliverio Ferraris Anna{Psicologia differenziale e genetica{Mondolibri{Milano - 2005{{{21,5 x 15,5{{127{2010-01-26{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5076{{P{05076{759.5 MOR{	./images/icone/icona-catalogazione.png{Il flavo delle stelle - Una sera di Giugno dell'anno 1623 alla corte di Gonzaga{Morselli Raffaella{Storia e geografia della pittura{Tre Lune{Mantova - 1999{I saturnini{{16,5 x 12{{164{2010-01-26{N{12.39{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
